id,professional_roles,experience,schedule,employment,employer,accept_handicapped,key_skills,city,salary_from,salary_to,field_of_activity
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,ANSYS,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,AutoCAD,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,Autodesk Inventor,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,SolidWorks,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,Разработка конструкторской документации,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,КОМПАС-3D,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,Разработка проектной документации,Томск,75000,100000,Инженерия и строительство
72121675,"Инженер-конструктор, инженер-проектировщик",1-3,full_day,full,Стройкомплектсервис,0,Разработка чертежей,Томск,75000,100000,Инженерия и строительство
72121730,Курьер,0,shift,part,Квазар,0,Грамотная речь,Томск,60000,110000,Транспорт и логистика
72122239,"Менеджер по продажам, менеджер по работе с клиентами",0,remote,part,Staff-Linear,1,Грамотная речь,Томск,25000,50000,Торговля и продажи
72122239,"Менеджер по продажам, менеджер по работе с клиентами",0,remote,part,Staff-Linear,1,Базовые знания ПК,Томск,25000,50000,Торговля и продажи
72123219,"Официант, бармен, бариста",0,shift,full,AYS GROUP,0,Грамотная речь,Томск,25583,35000,Сфера обслуживания
72123219,"Официант, бармен, бариста",0,shift,full,AYS GROUP,0,Работа в команде,Томск,25583,35000,Сфера обслуживания
72123390,"Повар, пекарь, кондитер",0,full_day,full,"ЛАМА, Группа компаний",0,Коммуникативная грамотность,Томск,28000,36000,Сфера обслуживания
72123390,"Повар, пекарь, кондитер",0,full_day,full,"ЛАМА, Группа компаний",0,Обучаемость и адаптивность,Томск,28000,36000,Сфера обслуживания
72123390,"Повар, пекарь, кондитер",0,full_day,full,"ЛАМА, Группа компаний",0,Коучинг и проведение тренингов,Томск,28000,36000,Сфера обслуживания
72123390,"Повар, пекарь, кондитер",0,full_day,full,"ЛАМА, Группа компаний",0,Организаторские навыки,Томск,28000,36000,Сфера обслуживания
72123390,"Повар, пекарь, кондитер",0,full_day,full,"ЛАМА, Группа компаний",0,Продажи,Томск,28000,36000,Сфера обслуживания
72124633,Технолог,1-3,full_day,full,Деталь Проект,0,Ведение документооборота,Томск,60000,60000,Производство и технические специальности
72124633,Технолог,1-3,full_day,full,Деталь Проект,0,Базовые знания ПК,Томск,60000,60000,Производство и технические специальности
72124633,Технолог,1-3,full_day,full,Деталь Проект,0,Работа в команде,Томск,60000,60000,Производство и технические специальности
72124864,Водитель,0,full_day,full,Автоцентр АВТОГИК,0,Базовые знания ПК,Томск,35000,85000,Транспорт и логистика
72124864,Водитель,0,full_day,full,Автоцентр АВТОГИК,0,Коммуникативная грамотность,Томск,35000,85000,Транспорт и логистика
72124864,Водитель,0,full_day,full,Автоцентр АВТОГИК,0,Прием груза,Томск,35000,85000,Транспорт и логистика
72124864,Водитель,0,full_day,full,Автоцентр АВТОГИК,0,Погрузочно-разгрузочные работы,Томск,35000,85000,Транспорт и логистика
72124864,Водитель,0,full_day,full,Автоцентр АВТОГИК,0,Учет товарно-материальных ценностей,Томск,35000,85000,Транспорт и логистика
72125286,Электромонтажник,3-6,labor,full,Эко-Системы,0,Монтаж металлоконструкций,Томск,100000,150000,Инженерия и строительство
72125286,Электромонтажник,3-6,labor,full,Эко-Системы,0,Выполнение строительно-монтажных работ,Томск,100000,150000,Инженерия и строительство
72125286,Электромонтажник,3-6,labor,full,Эко-Системы,0,Выполнение ремонтных работ,Томск,100000,150000,Инженерия и строительство
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Продажи,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Коммуникативная грамотность,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Грамотная речь,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Составление договоров,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Организаторские навыки,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Поиск и привлечение новых клиентов,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Базовые знания ПК,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Публичные выступления и проведение презентаций,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Работа в команде,Томск,40000,95000,Торговля и продажи
72125786,"Менеджер по продажам, менеджер по работе с клиентами",1-3,full_day,full,"Мототека, филиал г.Томск",0,Управление и планирование продаж,Томск,40000,95000,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Продажи,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Коммуникативная грамотность,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Грамотная речь,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Работа с жилой недвижимостью,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Поиск и привлечение новых клиентов,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Публичные выступления и проведение презентаций,Томск,80000,147297,Торговля и продажи
72125979,Агент по недвижимости,0,full_day,full,ДомПлюс,0,Работа в команде,Томск,80000,147297,Торговля и продажи
72127032,"Делопроизводитель, архивариус",0,full_day,full,МТС Банк,0,Microsoft Outlook,Томск,28304,38248,Управление и администрирование
72127032,"Делопроизводитель, архивариус",0,full_day,full,МТС Банк,0,Microsoft PowerPoint,Томск,28304,38248,Управление и администрирование
72127032,"Делопроизводитель, архивариус",0,full_day,full,МТС Банк,0,Коммуникативная грамотность,Томск,28304,38248,Управление и администрирование
72127032,"Делопроизводитель, архивариус",0,full_day,full,МТС Банк,0,Ведение документооборота,Томск,28304,38248,Управление и администрирование
72127862,"Инженер ПТО, инженер-сметчик",1-3,full_day,full,ОГКУ Облстройзаказчик,0,ГРАНД-Смета,Могочино,42760,55000,Инженерия и строительство
72127862,"Инженер ПТО, инженер-сметчик",1-3,full_day,full,ОГКУ Облстройзаказчик,0,Ведение документооборота,Могочино,42760,55000,Инженерия и строительство
72127862,"Инженер ПТО, инженер-сметчик",1-3,full_day,full,ОГКУ Облстройзаказчик,0,Базовые знания ПК,Могочино,42760,55000,Инженерия и строительство
72127862,"Инженер ПТО, инженер-сметчик",1-3,full_day,full,ОГКУ Облстройзаказчик,0,Разработка сметной документации,Могочино,42760,55000,Инженерия и строительство
